[header]
width=20
height=20
tilewidth=16
tileheight=16
orientation=orthogonal

[tilesets]
tileset=../pngs/testTerrain.png,16,16,0,0

[layer]
type=Tile Layer 1
data=
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
15,102,102,102,102,102,102,102,102,102,102,89,89,89,89,89,89,89,89,15,
15,102,102,102,102,14,102,102,102,102,89,102,102,102,102,91,91,91,102,15,
15,3,4,5,89,89,89,89,89,89,102,102,102,102,102,102,91,102,102,15,
15,16,19,18,89,89,89,89,89,89,89,89,89,14,89,89,89,89,89,15,
15,29,30,31,102,49,102,102,91,91,102,102,102,102,102,102,102,102,102,15,
15,8,9,9,9,10,89,91,91,89,89,89,89,89,91,89,89,89,89,15,
15,21,22,22,22,23,102,102,91,91,91,102,102,102,102,91,91,91,102,15,
15,34,35,35,35,36,89,89,89,89,89,89,89,89,91,89,91,89,89,15,
15,102,91,102,102,102,102,102,102,102,102,102,102,89,89,89,89,89,89,15,
15,91,89,91,89,89,89,89,89,89,89,89,89,102,102,102,102,102,102,15,
15,102,91,102,14,102,102,102,102,102,102,102,32,102,102,102,102,89,89,15,
15,89,89,89,89,89,89,89,89,89,89,89,89,89,89,66,67,68,102,15,
15,102,102,102,102,91,102,102,102,102,102,102,102,102,102,79,80,81,102,15,
15,89,89,91,91,91,91,89,89,91,91,89,89,89,89,79,80,81,89,15,
15,102,102,102,102,91,102,102,102,102,91,91,91,102,102,79,80,81,102,15,
15,66,67,68,89,89,89,89,89,91,91,89,89,89,89,79,80,81,89,15,
15,79,80,81,102,102,32,102,102,102,102,102,102,102,102,79,80,81,102,15,
15,92,93,94,89,89,89,89,89,89,89,89,89,89,89,92,93,94,89,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15

